author, commit_count
Tarrant,5
ketzacoatl,5
Pablo Cantero,5
Doug Goldstein,5
Luis Silva,5
George Hartzell,5
Conor Mongey,5
Petr Artamonov,5
Justin Weissig,5
Justin DiPierro,5
DJ Home,5
Sam Dunne,5
Michele Degges,5
Matthew Garrell,5
Alexis Grant,5
Koen De Causmaecker,4
Joe Ceresini,4
Jie Wang,4
Jeremy Voorhis,4
Jeremy Asher,4
Jeff LaPlante,4
cmorent,4
Jearvon Dharrie,4
Alex Rowley,4
George Christou,4
James Martelletti,4
Gerrit Tamboer,4
Jacques Lemieux,4
Ira,4
Alexander Savchuk,4
Yo Takezawa,4
Yahya Poonawala,4
Adam Dehnel,4
Adam Enger,4
Tomas Doran,4
Tom Elliff,4
Svend Sorensen,4
Sunny,4
Stephen Cross,4
Arthur Burkart,4
Stefan Schmidt,4
Ashlee M Boyer,4
--global,4
BSick7,4
ScottWinkler,4
ritsok,4
S. Brent Faulkner,4
Ryon,4
Roger Berlind,4
rita,4
Robert Liebowitz,4
r_takaishi,4
Raymond Fallon,4
Brandon Rochon,4
pbthorste,4
Brian Hicks,4
magodo,4
liamjbennett,4
Patrick Sodré,4
Carlos Sanchez,4
Pasha Palangpour,4
Nolan Davidson,4
Nicki Watt,4
Nic Jackson,4
wata_mac,4
Colin Saliceti,4
Michael Mell,4
Albert Lloveras,4
Dan Allegood,4
Dan Peterson,4
Mathieu Herbert,4
Dan Wendorf,4
Daniel Banck,4
Daniel Kimsey,4
Daniel Schmidt,4
Marc Tamsky,4
Manoj,4
David Adams,4
gkze,4
Alex Eftimie,4
Krista LaFentres (she/her),4
Kevin Nuckolls,4
Kevin Burke,4
Eloy Coto,4
Joshua Feierman,4
Eric Bellemon,4
Joshua Barton,4
Erik Jansson,4
Ernest W. Durbin III,4
Neeraj Kumar,3
Daniel Bryant,3
jrperritt,3
Nic Cope,3
Nick Laferriere,3
Chris Broglie,3
kmchau,3
Mary Elizabeth,3
Alex Meng,3
Nsikan,3
Ola Karlsson,3
Mark Turner,3
Mark Peek,3
Marcello Laganà,3
Carlos Diaz-Padron,3
Daniel Schierbeck,3
Garrett Heel,3
Daniel Schroeder,3
Jonathan Kinred,3
zpatrick,3
Cameron Childress,3
